Numéro;Nom;Nbinscrits;Nbvotants;Nbblancs;Nbnuls;Nbexp
44;"Grand Est";3864055;2847382;158769;54418;2634195
75;"Nouvelle-Aquitaine";4462866;3383501;250345;103875;3029281
84;"Auvergne-Rhône-Alpes";5558964;4136309;277883;91317;3767109
27;"Bourgogne-Franche-Comté";1992557;1491021;102236;38647;1350138
53;"Bretagne";2562764;1996495;142782;48102;1805611
24;"Centre-Val de Loire";1837674;1373416;89671;33483;1250262
11;"Île-de-France";7353133;5192986;320171;86980;4785835
76;"Occitanie";4324603;3251774;238975;99581;2913218
32;"Hauts-de-France";4256336;3119882;160771;68989;2890122
28;"Normandie";2414345;1830658;116648;36854;1677156
52;"Pays de la Loire";2833848;2164728;144187;46252;1974289
93;"Provence-Alpes-Côte d'Azur";3664768;2656700;155435;49262;2452003
94;"Corse";243000;147902;9534;4552;133816
01;"Guadeloupe";315941;149057;8511;8211;132335
02;"Martinique";304670;138469;11198;7353;119918
03;"Guyane";103058;40088;3049;1768;35271
04;"La Réunion";676080;401492;20584;16644;364264
06;"Mayotte";92421;42044;1645;1997;38402
